2026-07-08T21:52:54.625405209Z [inf]  Starting Container
2026-07-08T21:52:55.517317995Z [inf]  ℹ️ [٩:٥٢:٥٥ م] 🤖 Gemini AI جاهز!
2026-07-08T21:52:55.517325505Z [inf]  🔄 [Keep-Alive] شغّال — ping كل 2 دقيقة | مراقبة كل دقيقة | /status للإحصائيات
2026-07-08T21:52:55.517330915Z [inf]  ✅ Server is ready and listening on port 8080
2026-07-08T21:52:55.517341465Z [inf]  🔒 [Lock] احنا النسخة الشرعية (instanceId=14-mrcm6cmw-sgwonn)
2026-07-08T21:52:55.517341525Z [err]  ⚠️ تنبيه! المتغير GOOGLE_CLIENT_ID مفقود - بعض الميزات ما تشتغل
2026-07-08T21:52:55.517352205Z [inf]  ✅ [Music] النظام جاهز — play-dl + @discordjs/voice + Spotify
2026-07-08T21:52:55.517352585Z [err]  ⚠️ تنبيه! المتغير GOOGLE_CLIENT_SECRET مفقود - بعض الميزات ما تشتغل
2026-07-08T21:52:55.517357935Z [inf]  ✅ [GeminiKeys] 8 مفتاح جاهز (~12000 طلب/يوم)
2026-07-08T21:52:55.517359644Z [err]  ⚠️ تنبيه! المتغير GOOGLE_REFRESH_TOKEN مفقود - بعض الميزات ما تشتغل
2026-07-08T21:52:55.517365314Z [err]  ⚠️ تنبيه! المتغير YOUTUBE_API_KEY مفقود - بعض الميزات ما تشتغل
2026-07-08T21:52:55.517369594Z [inf]  
2026-07-08T21:52:55.517376284Z [inf]  > @workspace/discord-bot@1.0.0 start
2026-07-08T21:52:55.517380464Z [inf]  > node index.js
2026-07-08T21:52:55.517383634Z [inf]  
2026-07-08T21:52:55.854844031Z [inf]  ✅ [٩:٥٢:٥٥ م] نجح: تسجيل الدخول بـ: زنجي
2026-07-08T21:52:55.854850581Z [inf]  ℹ️ [٩:٥٢:٥٥ م] 🔄 رفع 83 أمر على ديسكورد...
2026-07-08T21:52:56.219692197Z [inf]  ✅ [٩:٥٢:٥٦ م] نجح: تم رفع 83 أمر بنجاح!
2026-07-08T21:52:56.219728556Z [inf]  ✅ [LatestFeatures] كل الأوامر موثقة في /احدث-المميزات ✔
2026-07-08T21:52:56.534742555Z [inf]  ℹ️ [٩:٥٢:٥٦ م] ℹ️ لوحة الاقتراحات الثابتة موجودة بالفعل — لن نرسل نسخة جديدة
2026-07-08T21:52:56.534746785Z [inf]  ℹ️ [٩:٥٢:٥٦ م] ⏰ نظام النسخ الاحتياطية التلقائية اليومية جاهز
2026-07-08T21:52:56.534750324Z [inf]  ℹ️ [٩:٥٢:٥٦ م] 📊 نظام ملخص السيرفر الأسبوعي جاهز
2026-07-08T21:52:56.534753884Z [inf]  ✅ [WeeklyChallenge] جُدوِل — التحدي القادم يوم الجمعة الساعة 1 ظهراً (بعد 37 ساعة و7 دقيقة)
2026-07-08T21:52:56.534757824Z [inf]  ✅ [AnimeNews] نظام أخبار الأنمي جاهز — بيتحقق كل ساعة
2026-07-08T21:52:56.534761584Z [inf]  ✅ [LegendaryEvents] نظام الفعاليات الأسطورية جاهز — أول فعالية بعد 10 دقايق
2026-07-08T21:52:56.534765674Z [inf]  ℹ️ [٩:٥٢:٥٦ م] 👑 البوت عنده Admin بالفعل في: 👑الفࢪا؏ـنة✨
2026-07-08T21:53:46.483531805Z [err]  ⚠️ [GeminiKeys] المفتاح BJPrfw وصل للحد — بيتحول للتالي
2026-07-08T21:53:46.483538655Z [err]  ⚠️ [GeminiKeys] المفتاح 9BtuXw وصل للحد — بيتحول للتالي
2026-07-08T21:53:46.483543795Z [err]  ⚠️ [GeminiKeys] المفتاح UxbmsQ وصل للحد — بيتحول للتالي
