2026-07-08T21:58:16.628884833Z [inf]  Starting Container
2026-07-08T21:58:17.168063437Z [inf]  
2026-07-08T21:58:17.168067157Z [inf]  > @workspace/discord-bot@1.0.0 start
2026-07-08T21:58:17.168070387Z [inf]  > node index.js
2026-07-08T21:58:17.168073967Z [inf]  
2026-07-08T21:58:17.168077377Z [err]  ⚠️ تنبيه! المتغير GOOGLE_CLIENT_ID مفقود - بعض الميزات ما تشتغل
2026-07-08T21:58:17.168080727Z [err]  ⚠️ تنبيه! المتغير GOOGLE_CLIENT_SECRET مفقود - بعض الميزات ما تشتغل
2026-07-08T21:58:17.168084417Z [err]  ⚠️ تنبيه! المتغير GOOGLE_REFRESH_TOKEN مفقود - بعض الميزات ما تشتغل
2026-07-08T21:58:17.168087957Z [err]  ⚠️ تنبيه! المتغير YOUTUBE_API_KEY مفقود - بعض الميزات ما تشتغل
2026-07-08T21:58:17.333764003Z [inf]  🔒 [Lock] احنا النسخة الشرعية (instanceId=14-mrcmd983-8hzi0e)
2026-07-08T21:58:17.345599850Z [inf]  ✅ [Music] النظام جاهز — play-dl + @discordjs/voice + Spotify
2026-07-08T21:58:17.345604550Z [inf]  ✅ [GeminiKeys] 8 مفتاح جاهز (~12000 طلب/يوم)
2026-07-08T21:58:17.355075606Z [inf]  ℹ️ [٩:٥٨:١٧ م] 🤖 Gemini AI جاهز!
2026-07-08T21:58:17.357268437Z [inf]  🔄 [Keep-Alive] شغّال — ping كل 2 دقيقة | مراقبة كل دقيقة | /status للإحصائيات
2026-07-08T21:58:17.366669154Z [inf]  ✅ Server is ready and listening on port 8080
2026-07-08T21:58:17.880058629Z [inf]  ✅ [٩:٥٨:١٧ م] نجح: تسجيل الدخول بـ: زنجي
2026-07-08T21:58:17.881401807Z [inf]  ℹ️ [٩:٥٨:١٧ م] 🔄 رفع 83 أمر على ديسكورد...
2026-07-08T21:58:18.284190882Z [inf]  ✅ [٩:٥٨:١٨ م] نجح: تم رفع 83 أمر بنجاح!
2026-07-08T21:58:18.284195072Z [inf]  ✅ [LatestFeatures] كل الأوامر موثقة في /احدث-المميزات ✔
2026-07-08T21:58:18.695637841Z [inf]  ℹ️ [٩:٥٨:١٨ م] ℹ️ لوحة الاقتراحات الثابتة موجودة بالفعل — لن نرسل نسخة جديدة
2026-07-08T21:58:18.695643101Z [inf]  ℹ️ [٩:٥٨:١٨ م] ⏰ نظام النسخ الاحتياطية التلقائية اليومية جاهز
2026-07-08T21:58:18.695647221Z [inf]  ℹ️ [٩:٥٨:١٨ م] 📊 نظام ملخص السيرفر الأسبوعي جاهز
2026-07-08T21:58:18.695651671Z [inf]  ✅ [WeeklyChallenge] جُدوِل — التحدي القادم يوم الجمعة الساعة 1 ظهراً (بعد 37 ساعة و2 دقيقة)
2026-07-08T21:58:18.695655381Z [inf]  ✅ [AnimeNews] نظام أخبار الأنمي جاهز — بيتحقق كل ساعة
2026-07-08T21:58:18.695659481Z [inf]  ✅ [LegendaryEvents] نظام الفعاليات الأسطورية جاهز — أول فعالية بعد 10 دقايق
2026-07-08T21:58:18.696172226Z [inf]  ℹ️ [٩:٥٨:١٨ م] 👑 البوت عنده Admin بالفعل في: 👑الفࢪا؏ـنة✨
2026-07-08T21:59:38.699245940Z [err]  ⚠️ [GeminiKeys] المفتاح BJPrfw وصل للحد — بيتحول للتالي
2026-07-08T22:01:18.704160880Z [err]  ⚠️ [GeminiKeys] المفتاح 9BtuXw وصل للحد — بيتحول للتالي
2026-07-08T22:01:24.352639438Z [err]  ⚠️ [GeminiKeys] gemini-2.5-flash مزحوم (503) — بيتحول لـ gemini-2.0-flash-lite
